[06-Sep-2020 21:17:09 UTC] PHP Warning:  file_get_contents(C:\Users\sales\DispatchSystem\src\objects/../../data-store/dispatchPeriod.txt): failed to open stream: No such file or directory in C:\Users\sales\DispatchSystem\src\objects\DispatchPeriod.php on line 68
[06-Sep-2020 21:17:41 UTC] PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 25, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\Users\sales\DispatchSystem\src\objects\File.php on line 74
[06-Sep-2020 21:17:41 UTC] PHP Notice:  Undefined index: ANC in C:\Users\sales\DispatchSystem\src\objects\Courier.php on line 109
[06-Sep-2020 21:17:41 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\Users\sales\DispatchSystem\src\objects\Courier.php on line 120
[06-Sep-2020 21:17:41 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\Users\sales\DispatchSystem\src\objects\Courier.php on line 122
[06-Sep-2020 21:22:05 UTC] PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 25, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\Users\sales\DispatchSystem\src\objects\File.php on line 74
[06-Sep-2020 21:22:05 UTC] PHP Notice:  Undefined index: ANC in C:\Users\sales\DispatchSystem\src\objects\Courier.php on line 109
[06-Sep-2020 21:22:05 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\Users\sales\DispatchSystem\src\objects\Courier.php on line 120
[06-Sep-2020 21:22:05 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\Users\sales\DispatchSystem\src\objects\Courier.php on line 122
[06-Sep-2020 21:22:05 UTC] PHP Warning:  ftp_connect(): php_network_getaddresses: getaddrinfo failed: No such host is known.  in C:\Users\sales\DispatchSystem\src\objects\File.php on line 48
[06-Sep-2020 21:22:05 UTC] PHP Warning:  ftp_login() expects parameter 1 to be resource, bool given in C:\Users\sales\DispatchSystem\src\objects\File.php on line 50
